,time,price
50,17-04-24T09:30:00Z,144.98
74,17-04-24T09:35:00Z,144.85
30,17-04-24T09:40:00Z,145.2
29,17-04-24T09:45:00Z,145.45
55,17-04-24T09:50:00Z,145.4
36,17-04-24T09:55:00Z,145.33
57,17-04-24T10:00:00Z,145.4
41,17-04-24T10:05:00Z,145.575
13,17-04-24T10:10:00Z,145.385
54,17-04-24T10:15:00Z,145.46
48,17-04-24T10:20:00Z,145.53
2,17-04-24T10:25:00Z,145.5
49,17-04-24T10:30:00Z,145.47
33,17-04-24T10:35:00Z,145.3
4,17-04-24T10:40:00Z,145.35
16,17-04-24T10:45:00Z,145.29
26,17-04-24T10:50:00Z,145.249
72,17-04-24T10:55:00Z,145.25
1,17-04-24T11:00:00Z,145.26
67,17-04-24T11:05:00Z,145.279
77,17-04-24T11:10:00Z,145.2445
15,17-04-24T11:15:00Z,145.08
61,17-04-24T11:20:00Z,145.03
69,17-04-24T11:25:00Z,144.82
38,17-04-24T11:30:00Z,144.725
52,17-04-24T11:35:00Z,144.82
63,17-04-24T11:40:00Z,144.8616
27,17-04-24T11:45:00Z,145.025
62,17-04-24T11:50:00Z,145.05
43,17-04-24T11:55:00Z,145.015
44,17-04-24T12:00:00Z,144.92
9,17-04-24T12:05:00Z,145.04
66,17-04-24T12:10:00Z,145.01
51,17-04-24T12:15:00Z,145.215
7,17-04-24T12:20:00Z,145.1648
8,17-04-24T12:25:00Z,145.1301
31,17-04-24T12:30:00Z,145.18
32,17-04-24T12:35:00Z,145.16
58,17-04-24T12:40:00Z,145.23
37,17-04-24T12:45:00Z,145.1899
21,17-04-24T12:50:00Z,145.15
12,17-04-24T12:55:00Z,145.24
73,17-04-24T13:00:00Z,145.25
71,17-04-24T13:05:00Z,145.25
47,17-04-24T13:10:00Z,145.28
5,17-04-24T13:15:00Z,145.26
34,17-04-24T13:20:00Z,145.21
78,17-04-24T13:25:00Z,145.2431
25,17-04-24T13:30:00Z,145.255
19,17-04-24T13:35:00Z,145.23
53,17-04-24T13:40:00Z,145.239
56,17-04-24T13:45:00Z,145.18
35,17-04-24T13:50:00Z,145.19
24,17-04-24T13:55:00Z,145.205
14,17-04-24T14:00:00Z,145.245
11,17-04-24T14:05:00Z,145.191
39,17-04-24T14:10:00Z,145.1
20,17-04-24T14:15:00Z,145.15
75,17-04-24T14:20:00Z,145.16
10,17-04-24T14:25:00Z,145.26
59,17-04-24T14:30:00Z,145.25
28,17-04-24T14:35:00Z,145.23
0,17-04-24T14:40:00Z,145.22
3,17-04-24T14:45:00Z,145.24
45,17-04-24T14:50:00Z,145.26
68,17-04-24T14:55:00Z,145.3293
23,17-04-24T15:00:00Z,145.38
46,17-04-24T15:05:00Z,145.4
60,17-04-24T15:10:00Z,145.4846
64,17-04-24T15:15:00Z,145.4518
18,17-04-24T15:20:00Z,145.31
22,17-04-24T15:25:00Z,145.405
40,17-04-24T15:30:00Z,145.49
65,17-04-24T15:35:00Z,145.51
17,17-04-24T15:40:00Z,145.5578
6,17-04-24T15:45:00Z,145.55
76,17-04-24T15:50:00Z,145.57
70,17-04-24T15:55:00Z,145.48
42,17-04-24T16:00:00Z,145.47
