,company,count,time
0,baidu,2,17-04-24T11:44:00Z
0,baidu,1,17-04-24T11:59:00Z
0,baidu,1,17-04-24T12:01:00Z
0,baidu,1,17-04-24T12:02:00Z
0,baidu,2,17-04-24T12:08:00Z
4,baidu,1,17-04-24T12:09:00Z
0,baidu,1,17-04-24T12:10:00Z
0,baidu,1,17-04-24T12:12:00Z
0,baidu,1,17-04-24T12:18:00Z
0,baidu,1,17-04-24T12:19:00Z
0,baidu,1,17-04-24T12:21:00Z
0,baidu,1,17-04-24T12:22:00Z
0,baidu,3,17-04-24T12:23:00Z
0,baidu,1,17-04-24T12:24:00Z
0,baidu,1,17-04-24T12:28:00Z
4,baidu,1,17-04-24T12:29:00Z
0,baidu,1,17-04-24T12:31:00Z
0,baidu,1,17-04-24T12:34:00Z
0,baidu,3,17-04-24T12:35:00Z
0,baidu,1,17-04-24T12:37:00Z
0,baidu,2,17-04-24T12:38:00Z
0,baidu,1,17-04-24T12:42:00Z
0,baidu,2,17-04-24T12:46:00Z
0,baidu,6,17-04-24T12:47:00Z
0,baidu,1,17-04-24T12:51:00Z
0,baidu,2,17-04-24T12:54:00Z
4,baidu,1,17-04-24T13:01:00Z
0,baidu,1,17-04-24T13:02:00Z
0,baidu,1,17-04-24T13:04:00Z
0,baidu,1,17-04-24T13:09:00Z
0,baidu,3,17-04-24T13:14:00Z
0,baidu,1,17-04-24T13:18:00Z
0,baidu,2,17-04-24T13:19:00Z
4,baidu,1,17-04-24T13:20:00Z
0,baidu,1,17-04-24T13:23:00Z
0,baidu,2,17-04-24T13:25:00Z
0,baidu,1,17-04-24T13:39:00Z
0,baidu,1,17-04-24T13:42:00Z
0,baidu,1,17-04-24T13:45:00Z
0,baidu,1,17-04-24T13:55:00Z
0,baidu,1,17-04-24T14:03:00Z
0,baidu,1,17-04-24T14:16:00Z
0,baidu,1,17-04-24T14:20:00Z
0,baidu,1,17-04-24T14:31:00Z
0,baidu,1,17-04-24T14:33:00Z
0,baidu,1,17-04-24T14:40:00Z
0,baidu,1,17-04-24T14:41:00Z
0,baidu,1,17-04-24T14:42:00Z
0,baidu,1,17-04-24T14:47:00Z
0,baidu,1,17-04-24T14:49:00Z
0,baidu,1,17-04-24T14:50:00Z
0,baidu,1,17-04-24T14:54:00Z
0,baidu,3,17-04-24T15:04:00Z
0,baidu,1,17-04-24T15:06:00Z
0,baidu,2,17-04-24T15:07:00Z
0,baidu,1,17-04-24T15:08:00Z
0,baidu,1,17-04-24T15:11:00Z
0,baidu,1,17-04-24T15:15:00Z
0,baidu,1,17-04-24T15:17:00Z
0,baidu,1,17-04-24T15:18:00Z
0,baidu,2,17-04-24T15:19:00Z
0,baidu,1,17-04-24T15:22:00Z
0,baidu,2,17-04-24T15:31:00Z
0,baidu,1,17-04-24T15:35:00Z
0,baidu,2,17-04-24T15:42:00Z
0,baidu,2,17-04-24T15:43:00Z
0,baidu,1,17-04-24T15:45:00Z
0,baidu,1,17-04-24T15:46:00Z
0,baidu,1,17-04-24T15:47:00Z
0,baidu,2,17-04-24T15:49:00Z
0,baidu,2,17-04-24T15:50:00Z
0,baidu,2,17-04-24T15:53:00Z
4,baidu,1,17-04-24T15:55:00Z
4,baidu,1,17-04-24T15:57:00Z
0,baidu,2,17-04-24T16:01:00Z
0,baidu,2,17-04-24T16:03:00Z
0,baidu,1,17-04-24T16:05:00Z
0,baidu,1,17-04-24T16:09:00Z
0,baidu,1,17-04-24T16:14:00Z
0,baidu,1,17-04-24T16:16:00Z
0,baidu,1,17-04-24T16:18:00Z
0,baidu,1,17-04-24T16:23:00Z
0,baidu,1,17-04-24T16:33:00Z
4,baidu,1,17-04-24T16:35:00Z
0,baidu,1,17-04-24T16:44:00Z
0,baidu,2,17-04-24T16:49:00Z
0,baidu,1,17-04-24T16:51:00Z
0,baidu,3,17-04-24T16:52:00Z
0,baidu,1,17-04-24T16:55:00Z
0,baidu,1,17-04-24T16:56:00Z
0,baidu,2,17-04-24T17:01:00Z
