,company,count,time
0,baidu,2,17-04-24T11:44:00Z
0,baidu,1,17-04-24T11:59:00Z
0,baidu,1,17-04-24T12:01:00Z
0,baidu,1,17-04-24T12:02:00Z
0,baidu,2,17-04-24T12:08:00Z
4,baidu,1,17-04-24T12:09:00Z
0,baidu,1,17-04-24T12:10:00Z
0,baidu,1,17-04-24T12:12:00Z
0,baidu,1,17-04-24T12:18:00Z
0,baidu,1,17-04-24T12:19:00Z
0,baidu,1,17-04-24T12:21:00Z
0,baidu,1,17-04-24T12:22:00Z
0,baidu,3,17-04-24T12:23:00Z
0,baidu,1,17-04-24T12:24:00Z
0,baidu,1,17-04-24T12:28:00Z
4,baidu,1,17-04-24T12:29:00Z
0,baidu,1,17-04-24T12:31:00Z
0,baidu,1,17-04-24T12:34:00Z
0,baidu,3,17-04-24T12:35:00Z
0,baidu,1,17-04-24T12:37:00Z
0,baidu,2,17-04-24T12:38:00Z
0,baidu,1,17-04-24T12:42:00Z
0,baidu,2,17-04-24T12:46:00Z
0,baidu,6,17-04-24T12:47:00Z
0,baidu,1,17-04-24T12:51:00Z
0,baidu,2,17-04-24T12:54:00Z
4,baidu,1,17-04-24T13:01:00Z
0,baidu,1,17-04-24T13:02:00Z
0,baidu,1,17-04-24T13:04:00Z
0,baidu,1,17-04-24T13:09:00Z
0,baidu,3,17-04-24T13:14:00Z
0,baidu,1,17-04-24T13:18:00Z
0,baidu,2,17-04-24T13:19:00Z
4,baidu,1,17-04-24T13:20:00Z
0,baidu,1,17-04-24T13:23:00Z
0,baidu,2,17-04-24T13:25:00Z
