,company,count,time
27,netflix,94,17-04-24T11:42:00Z
24,netflix,44,17-04-24T11:43:00Z
20,netflix,38,17-04-24T11:44:00Z
22,netflix,48,17-04-24T11:45:00Z
19,netflix,47,17-04-24T11:46:00Z
19,netflix,83,17-04-24T11:48:00Z
22,netflix,36,17-04-24T11:49:00Z
19,netflix,38,17-04-24T11:50:00Z
22,netflix,35,17-04-24T11:51:00Z
20,netflix,32,17-04-24T11:52:00Z
26,netflix,86,17-04-24T11:59:00Z
22,netflix,40,17-04-24T12:00:00Z
24,netflix,45,17-04-24T12:01:00Z
24,netflix,65,17-04-24T12:02:00Z
20,netflix,47,17-04-24T12:03:00Z
20,netflix,45,17-04-24T12:04:00Z
21,netflix,31,17-04-24T12:05:00Z
21,netflix,47,17-04-24T12:06:00Z
17,netflix,49,17-04-24T12:07:00Z
23,netflix,47,17-04-24T12:08:00Z
17,netflix,38,17-04-24T12:09:00Z
22,netflix,43,17-04-24T12:10:00Z
21,netflix,53,17-04-24T12:11:00Z
22,netflix,42,17-04-24T12:12:00Z
17,netflix,37,17-04-24T12:13:00Z
26,netflix,39,17-04-24T12:14:00Z
22,netflix,44,17-04-24T12:15:00Z
25,netflix,57,17-04-24T12:16:00Z
19,netflix,41,17-04-24T12:17:00Z
21,netflix,90,17-04-24T12:18:00Z
20,netflix,55,17-04-24T12:19:00Z
20,netflix,64,17-04-24T12:20:00Z
23,netflix,55,17-04-24T12:21:00Z
19,netflix,65,17-04-24T12:22:00Z
18,netflix,59,17-04-24T12:23:00Z
18,netflix,19,17-04-24T12:24:00Z
21,netflix,61,17-04-24T12:25:00Z
22,netflix,42,17-04-24T12:26:00Z
19,netflix,43,17-04-24T12:27:00Z
22,netflix,52,17-04-24T12:28:00Z
18,netflix,42,17-04-24T12:29:00Z
19,netflix,40,17-04-24T12:30:00Z
22,netflix,62,17-04-24T12:31:00Z
18,netflix,48,17-04-24T12:32:00Z
18,netflix,67,17-04-24T12:33:00Z
21,netflix,46,17-04-24T12:34:00Z
23,netflix,39,17-04-24T12:35:00Z
20,netflix,35,17-04-24T12:36:00Z
21,netflix,38,17-04-24T12:37:00Z
25,netflix,50,17-04-24T12:38:00Z
21,netflix,56,17-04-24T12:39:00Z
21,netflix,52,17-04-24T12:40:00Z
22,netflix,75,17-04-24T12:41:00Z
21,netflix,54,17-04-24T12:42:00Z
23,netflix,52,17-04-24T12:43:00Z
21,netflix,55,17-04-24T12:44:00Z
20,netflix,80,17-04-24T12:45:00Z
22,netflix,54,17-04-24T12:46:00Z
23,netflix,36,17-04-24T12:47:00Z
20,netflix,44,17-04-24T12:48:00Z
24,netflix,60,17-04-24T12:49:00Z
22,netflix,46,17-04-24T12:50:00Z
21,netflix,49,17-04-24T12:51:00Z
20,netflix,45,17-04-24T12:52:00Z
19,netflix,54,17-04-24T12:53:00Z
21,netflix,45,17-04-24T12:54:00Z
17,netflix,59,17-04-24T12:55:00Z
23,netflix,56,17-04-24T12:56:00Z
18,netflix,60,17-04-24T12:57:00Z
19,netflix,45,17-04-24T12:58:00Z
17,netflix,71,17-04-24T12:59:00Z
20,netflix,82,17-04-24T13:00:00Z
22,netflix,63,17-04-24T13:01:00Z
21,netflix,63,17-04-24T13:02:00Z
24,netflix,50,17-04-24T13:03:00Z
25,netflix,57,17-04-24T13:04:00Z
21,netflix,76,17-04-24T13:05:00Z
24,netflix,55,17-04-24T13:06:00Z
20,netflix,57,17-04-24T13:07:00Z
20,netflix,38,17-04-24T13:08:00Z
24,netflix,54,17-04-24T13:09:00Z
19,netflix,52,17-04-24T13:10:00Z
22,netflix,67,17-04-24T13:11:00Z
19,netflix,40,17-04-24T13:12:00Z
19,netflix,50,17-04-24T13:13:00Z
22,netflix,57,17-04-24T13:14:00Z
18,netflix,34,17-04-24T13:15:00Z
23,netflix,55,17-04-24T13:16:00Z
19,netflix,41,17-04-24T13:17:00Z
19,netflix,61,17-04-24T13:18:00Z
22,netflix,44,17-04-24T13:19:00Z
19,netflix,46,17-04-24T13:20:00Z
21,netflix,59,17-04-24T13:21:00Z
20,netflix,70,17-04-24T13:22:00Z
25,netflix,75,17-04-24T13:23:00Z
19,netflix,57,17-04-24T13:24:00Z
22,netflix,41,17-04-24T13:25:00Z
