,company,count,time
18,viacom,2,17-04-24T11:42:00Z
16,viacom,1,17-04-24T11:43:00Z
16,viacom,1,17-04-24T12:02:00Z
13,viacom,1,17-04-24T12:06:00Z
15,viacom,1,17-04-24T12:08:00Z
16,viacom,1,17-04-24T12:14:00Z
15,viacom,3,17-04-24T12:15:00Z
18,viacom,1,17-04-24T12:16:00Z
13,viacom,1,17-04-24T12:20:00Z
15,viacom,1,17-04-24T12:21:00Z
13,viacom,1,17-04-24T12:40:00Z
12,viacom,1,17-04-24T12:45:00Z
14,viacom,1,17-04-24T12:48:00Z
14,viacom,1,17-04-24T12:52:00Z
13,viacom,1,17-04-24T12:53:00Z
14,viacom,1,17-04-24T12:54:00Z
13,viacom,2,17-04-24T13:00:00Z
16,viacom,2,17-04-24T13:03:00Z
17,viacom,1,17-04-24T13:06:00Z
11,viacom,3,17-04-24T13:08:00Z
15,viacom,1,17-04-24T13:11:00Z
12,viacom,1,17-04-24T13:12:00Z
16,viacom,1,17-04-24T13:25:00Z
12,viacom,1,17-04-24T13:30:00Z
13,viacom,2,17-04-24T13:32:00Z
14,viacom,1,17-04-24T13:37:00Z
16,viacom,1,17-04-24T13:39:00Z
13,viacom,2,17-04-24T13:41:00Z
19,viacom,1,17-04-24T13:42:00Z
12,viacom,2,17-04-24T13:43:00Z
14,viacom,1,17-04-24T13:58:00Z
12,viacom,1,17-04-24T13:59:00Z
14,viacom,2,17-04-24T14:00:00Z
17,viacom,1,17-04-24T14:01:00Z
16,viacom,1,17-04-24T14:04:00Z
12,viacom,2,17-04-24T14:10:00Z
15,viacom,1,17-04-24T14:12:00Z
12,viacom,1,17-04-24T14:19:00Z
15,viacom,1,17-04-24T14:20:00Z
14,viacom,1,17-04-24T14:21:00Z
16,viacom,1,17-04-24T14:25:00Z
14,viacom,1,17-04-24T14:38:00Z
16,viacom,1,17-04-24T14:49:00Z
