,company,count,time
20,cognizant,1,17-04-24T11:43:00Z
18,cognizant,1,17-04-24T11:49:00Z
19,cognizant,1,17-04-24T12:00:00Z
16,cognizant,2,17-04-24T12:04:00Z
18,cognizant,3,17-04-24T12:10:00Z
17,cognizant,1,17-04-24T12:12:00Z
23,cognizant,1,17-04-24T12:16:00Z
17,cognizant,1,17-04-24T12:19:00Z
17,cognizant,1,17-04-24T12:36:00Z
15,cognizant,1,17-04-24T12:39:00Z
18,cognizant,1,17-04-24T12:44:00Z
18,cognizant,1,17-04-24T12:47:00Z
20,cognizant,1,17-04-24T12:50:00Z
18,cognizant,1,17-04-24T12:51:00Z
16,cognizant,1,17-04-24T12:55:00Z
17,cognizant,2,17-04-24T12:56:00Z
17,cognizant,1,17-04-24T12:58:00Z
20,cognizant,3,17-04-24T13:03:00Z
22,cognizant,2,17-04-24T13:04:00Z
17,cognizant,1,17-04-24T13:05:00Z
22,cognizant,1,17-04-24T13:06:00Z
16,cognizant,1,17-04-24T13:12:00Z
20,cognizant,1,17-04-24T13:16:00Z
15,cognizant,1,17-04-24T13:18:00Z
17,cognizant,1,17-04-24T13:22:00Z
16,cognizant,1,17-04-24T13:29:00Z
18,cognizant,1,17-04-24T13:34:00Z
16,cognizant,1,17-04-24T13:35:00Z
21,cognizant,1,17-04-24T13:39:00Z
18,cognizant,1,17-04-24T13:40:00Z
17,cognizant,1,17-04-24T13:41:00Z
18,cognizant,1,17-04-24T13:48:00Z
18,cognizant,1,17-04-24T13:50:00Z
18,cognizant,1,17-04-24T13:53:00Z
22,cognizant,1,17-04-24T14:01:00Z
20,cognizant,1,17-04-24T14:03:00Z
18,cognizant,1,17-04-24T14:08:00Z
17,cognizant,1,17-04-24T14:11:00Z
18,cognizant,1,17-04-24T14:13:00Z
16,cognizant,1,17-04-24T14:16:00Z
20,cognizant,1,17-04-24T14:25:00Z
19,cognizant,1,17-04-24T14:29:00Z
18,cognizant,1,17-04-24T14:33:00Z
21,cognizant,1,17-04-24T14:34:00Z
17,cognizant,1,17-04-24T14:35:00Z
17,cognizant,1,17-04-24T14:36:00Z
15,cognizant,3,17-04-24T14:37:00Z
19,cognizant,1,17-04-24T14:43:00Z
16,cognizant,1,17-04-24T14:45:00Z
18,cognizant,2,17-04-24T14:46:00Z
17,cognizant,1,17-04-24T14:48:00Z
20,cognizant,1,17-04-24T14:49:00Z
