,company,count,time
26,seagate,1,17-04-24T11:42:00Z
25,seagate,1,17-04-24T11:43:00Z
21,seagate,1,17-04-24T11:44:00Z
21,seagate,1,17-04-24T11:45:00Z
23,seagate,1,17-04-24T11:59:00Z
21,seagate,2,17-04-24T12:00:00Z
23,seagate,4,17-04-24T12:01:00Z
23,seagate,2,17-04-24T12:02:00Z
22,seagate,2,17-04-24T12:03:00Z
24,seagate,1,17-04-24T12:04:00Z
20,seagate,1,17-04-24T12:06:00Z
16,seagate,1,17-04-24T12:09:00Z
20,seagate,2,17-04-24T12:11:00Z
20,seagate,1,17-04-24T12:18:00Z
22,seagate,1,17-04-24T12:33:00Z
19,seagate,2,17-04-24T12:37:00Z
25,seagate,1,17-04-24T12:46:00Z
22,seagate,2,17-04-24T12:47:00Z
19,seagate,1,17-04-24T12:48:00Z
24,seagate,1,17-04-24T12:51:00Z
23,seagate,1,17-04-24T12:54:00Z
17,seagate,1,17-04-24T12:57:00Z
21,seagate,1,17-04-24T13:01:00Z
27,seagate,2,17-04-24T13:04:00Z
26,seagate,2,17-04-24T13:05:00Z
22,seagate,1,17-04-24T13:09:00Z
23,seagate,2,17-04-24T13:13:00Z
26,seagate,1,17-04-24T13:14:00Z
21,seagate,1,17-04-24T13:19:00Z
24,seagate,1,17-04-24T13:23:00Z
23,seagate,1,17-04-24T13:24:00Z
23,seagate,1,17-04-24T13:25:00Z
21,seagate,3,17-04-24T13:26:00Z
18,seagate,1,17-04-24T13:27:00Z
20,seagate,1,17-04-24T13:28:00Z
18,seagate,1,17-04-24T13:29:00Z
17,seagate,1,17-04-24T13:31:00Z
20,seagate,2,17-04-24T13:32:00Z
18,seagate,1,17-04-24T13:45:00Z
22,seagate,1,17-04-24T13:46:00Z
22,seagate,1,17-04-24T13:57:00Z
29,seagate,3,17-04-24T14:02:00Z
24,seagate,1,17-04-24T14:03:00Z
21,seagate,1,17-04-24T14:05:00Z
21,seagate,1,17-04-24T14:06:00Z
19,seagate,1,17-04-24T14:13:00Z
18,seagate,1,17-04-24T14:16:00Z
20,seagate,1,17-04-24T14:18:00Z
21,seagate,1,17-04-24T14:20:00Z
22,seagate,1,17-04-24T14:30:00Z
25,seagate,2,17-04-24T14:32:00Z
19,seagate,2,17-04-24T14:33:00Z
26,seagate,1,17-04-24T14:34:00Z
24,seagate,5,17-04-24T14:35:00Z
21,seagate,4,17-04-24T14:36:00Z
19,seagate,4,17-04-24T14:37:00Z
25,seagate,2,17-04-24T14:38:00Z
21,seagate,1,17-04-24T14:39:00Z
21,seagate,2,17-04-24T14:41:00Z
21,seagate,1,17-04-24T14:42:00Z
21,seagate,1,17-04-24T14:43:00Z
21,seagate,1,17-04-24T14:44:00Z
19,seagate,1,17-04-24T14:50:00Z
21,seagate,2,17-04-24T14:54:00Z
17,seagate,1,17-04-24T14:57:00Z
16,seagate,2,17-04-24T14:58:00Z
21,seagate,1,17-04-24T15:03:00Z
23,seagate,1,17-04-24T15:04:00Z
19,seagate,2,17-04-24T15:05:00Z
22,seagate,2,17-04-24T15:07:00Z
25,seagate,3,17-04-24T15:09:00Z
27,seagate,1,17-04-24T15:11:00Z
25,seagate,1,17-04-24T15:13:00Z
22,seagate,1,17-04-24T15:15:00Z
21,seagate,1,17-04-24T15:16:00Z
21,seagate,2,17-04-24T15:18:00Z
21,seagate,1,17-04-24T15:22:00Z
21,seagate,2,17-04-24T15:25:00Z
24,seagate,2,17-04-24T15:26:00Z
19,seagate,1,17-04-24T15:27:00Z
18,seagate,2,17-04-24T15:29:00Z
26,seagate,1,17-04-24T15:31:00Z
21,seagate,1,17-04-24T15:32:00Z
22,seagate,2,17-04-24T15:39:00Z
19,seagate,1,17-04-24T15:40:00Z
22,seagate,2,17-04-24T15:41:00Z
20,seagate,1,17-04-24T15:42:00Z
20,seagate,3,17-04-24T15:43:00Z
18,seagate,1,17-04-24T15:44:00Z
22,seagate,1,17-04-24T15:45:00Z
17,seagate,1,17-04-24T15:51:00Z
21,seagate,1,17-04-24T15:54:00Z
23,seagate,17,17-04-24T15:55:00Z
24,seagate,4,17-04-24T16:00:00Z
25,seagate,1,17-04-24T16:02:00Z
20,seagate,1,17-04-24T16:05:00Z
20,seagate,1,17-04-24T16:06:00Z
22,seagate,2,17-04-24T16:07:00Z
18,seagate,1,17-04-24T16:09:00Z
19,seagate,1,17-04-24T16:10:00Z
21,seagate,1,17-04-24T16:11:00Z
17,seagate,1,17-04-24T16:12:00Z
18,seagate,3,17-04-24T16:13:00Z
20,seagate,2,17-04-24T16:18:00Z
21,seagate,2,17-04-24T16:20:00Z
24,seagate,1,17-04-24T16:21:00Z
19,seagate,1,17-04-24T16:22:00Z
21,seagate,1,17-04-24T16:23:00Z
