,company,count,time
26,seagate,1,17-04-24T11:42:00Z
25,seagate,1,17-04-24T11:43:00Z
21,seagate,1,17-04-24T11:44:00Z
21,seagate,1,17-04-24T11:45:00Z
23,seagate,1,17-04-24T11:59:00Z
21,seagate,2,17-04-24T12:00:00Z
23,seagate,4,17-04-24T12:01:00Z
23,seagate,2,17-04-24T12:02:00Z
22,seagate,2,17-04-24T12:03:00Z
24,seagate,1,17-04-24T12:04:00Z
20,seagate,1,17-04-24T12:06:00Z
16,seagate,1,17-04-24T12:09:00Z
20,seagate,2,17-04-24T12:11:00Z
20,seagate,1,17-04-24T12:18:00Z
22,seagate,1,17-04-24T12:33:00Z
19,seagate,2,17-04-24T12:37:00Z
25,seagate,1,17-04-24T12:46:00Z
22,seagate,2,17-04-24T12:47:00Z
19,seagate,1,17-04-24T12:48:00Z
24,seagate,1,17-04-24T12:51:00Z
23,seagate,1,17-04-24T12:54:00Z
17,seagate,1,17-04-24T12:57:00Z
21,seagate,1,17-04-24T13:01:00Z
27,seagate,2,17-04-24T13:04:00Z
26,seagate,2,17-04-24T13:05:00Z
22,seagate,1,17-04-24T13:09:00Z
23,seagate,2,17-04-24T13:13:00Z
26,seagate,1,17-04-24T13:14:00Z
21,seagate,1,17-04-24T13:19:00Z
24,seagate,1,17-04-24T13:23:00Z
23,seagate,1,17-04-24T13:24:00Z
23,seagate,1,17-04-24T13:25:00Z
