,company,count,time
22,amazon,187,17-04-24T11:42:00Z
19,amazon,102,17-04-24T11:43:00Z
17,amazon,91,17-04-24T11:44:00Z
17,amazon,76,17-04-24T11:45:00Z
16,amazon,91,17-04-24T11:46:00Z
15,amazon,74,17-04-24T11:48:00Z
17,amazon,76,17-04-24T11:49:00Z
17,amazon,92,17-04-24T11:50:00Z
18,amazon,94,17-04-24T11:51:00Z
16,amazon,51,17-04-24T11:52:00Z
20,amazon,156,17-04-24T11:59:00Z
17,amazon,83,17-04-24T12:00:00Z
19,amazon,133,17-04-24T12:01:00Z
19,amazon,110,17-04-24T12:02:00Z
16,amazon,135,17-04-24T12:03:00Z
14,amazon,84,17-04-24T12:04:00Z
17,amazon,98,17-04-24T12:05:00Z
16,amazon,101,17-04-24T12:06:00Z
14,amazon,96,17-04-24T12:07:00Z
18,amazon,120,17-04-24T12:08:00Z
13,amazon,89,17-04-24T12:09:00Z
17,amazon,92,17-04-24T12:10:00Z
17,amazon,107,17-04-24T12:11:00Z
16,amazon,87,17-04-24T12:12:00Z
14,amazon,94,17-04-24T12:13:00Z
19,amazon,95,17-04-24T12:14:00Z
18,amazon,102,17-04-24T12:15:00Z
21,amazon,147,17-04-24T12:16:00Z
15,amazon,90,17-04-24T12:17:00Z
16,amazon,109,17-04-24T12:18:00Z
16,amazon,102,17-04-24T12:19:00Z
16,amazon,129,17-04-24T12:20:00Z
19,amazon,154,17-04-24T12:21:00Z
17,amazon,171,17-04-24T12:22:00Z
15,amazon,162,17-04-24T12:23:00Z
13,amazon,46,17-04-24T12:24:00Z
15,amazon,75,17-04-24T12:25:00Z
18,amazon,95,17-04-24T12:26:00Z
16,amazon,101,17-04-24T12:27:00Z
18,amazon,122,17-04-24T12:28:00Z
14,amazon,134,17-04-24T12:29:00Z
16,amazon,112,17-04-24T12:30:00Z
18,amazon,175,17-04-24T12:31:00Z
14,amazon,185,17-04-24T12:32:00Z
15,amazon,189,17-04-24T12:33:00Z
17,amazon,102,17-04-24T12:34:00Z
18,amazon,108,17-04-24T12:35:00Z
16,amazon,107,17-04-24T12:36:00Z
15,amazon,117,17-04-24T12:37:00Z
20,amazon,133,17-04-24T12:38:00Z
14,amazon,130,17-04-24T12:39:00Z
17,amazon,103,17-04-24T12:40:00Z
18,amazon,166,17-04-24T12:41:00Z
17,amazon,119,17-04-24T12:42:00Z
18,amazon,88,17-04-24T12:43:00Z
16,amazon,121,17-04-24T12:44:00Z
15,amazon,122,17-04-24T12:45:00Z
17,amazon,147,17-04-24T12:46:00Z
17,amazon,146,17-04-24T12:47:00Z
17,amazon,119,17-04-24T12:48:00Z
18,amazon,129,17-04-24T12:49:00Z
18,amazon,124,17-04-24T12:50:00Z
17,amazon,135,17-04-24T12:51:00Z
17,amazon,110,17-04-24T12:52:00Z
16,amazon,111,17-04-24T12:53:00Z
17,amazon,144,17-04-24T12:54:00Z
14,amazon,117,17-04-24T12:55:00Z
14,amazon,194,17-04-24T12:56:00Z
15,amazon,134,17-04-24T12:57:00Z
15,amazon,108,17-04-24T12:58:00Z
15,amazon,120,17-04-24T12:59:00Z
16,amazon,101,17-04-24T13:00:00Z
17,amazon,146,17-04-24T13:01:00Z
18,amazon,131,17-04-24T13:02:00Z
19,amazon,118,17-04-24T13:03:00Z
20,amazon,94,17-04-24T13:04:00Z
16,amazon,122,17-04-24T13:05:00Z
20,amazon,123,17-04-24T13:06:00Z
17,amazon,96,17-04-24T13:07:00Z
15,amazon,117,17-04-24T13:08:00Z
18,amazon,107,17-04-24T13:09:00Z
16,amazon,109,17-04-24T13:10:00Z
18,amazon,120,17-04-24T13:11:00Z
15,amazon,89,17-04-24T13:12:00Z
14,amazon,111,17-04-24T13:13:00Z
17,amazon,86,17-04-24T13:14:00Z
14,amazon,107,17-04-24T13:15:00Z
18,amazon,121,17-04-24T13:16:00Z
15,amazon,101,17-04-24T13:17:00Z
14,amazon,117,17-04-24T13:18:00Z
18,amazon,108,17-04-24T13:19:00Z
