,company,count,time
0,symantec,1,17-04-24T11:42:00Z
0,symantec,1,17-04-24T11:48:00Z
0,symantec,1,17-04-24T11:49:00Z
0,symantec,1,17-04-24T11:50:00Z
1,symantec,2,17-04-24T11:59:00Z
0,symantec,1,17-04-24T12:00:00Z
1,symantec,1,17-04-24T12:01:00Z
0,symantec,3,17-04-24T12:05:00Z
0,symantec,1,17-04-24T12:11:00Z
1,symantec,3,17-04-24T12:12:00Z
0,symantec,2,17-04-24T12:14:00Z
0,symantec,3,17-04-24T12:15:00Z
0,symantec,1,17-04-24T12:16:00Z
0,symantec,1,17-04-24T12:20:00Z
0,symantec,1,17-04-24T12:30:00Z
1,symantec,1,17-04-24T12:31:00Z
0,symantec,1,17-04-24T12:33:00Z
1,symantec,1,17-04-24T12:34:00Z
1,symantec,1,17-04-24T12:38:00Z
1,symantec,1,17-04-24T12:41:00Z
4,symantec,1,17-04-24T12:44:00Z
1,symantec,1,17-04-24T12:47:00Z
0,symantec,2,17-04-24T12:49:00Z
0,symantec,1,17-04-24T12:57:00Z
3,symantec,1,17-04-24T13:00:00Z
1,symantec,1,17-04-24T13:02:00Z
1,symantec,2,17-04-24T13:04:00Z
0,symantec,1,17-04-24T13:05:00Z
2,symantec,2,17-04-24T13:06:00Z
0,symantec,2,17-04-24T13:07:00Z
5,symantec,3,17-04-24T13:09:00Z
0,symantec,1,17-04-24T13:10:00Z
0,symantec,2,17-04-24T13:11:00Z
2,symantec,1,17-04-24T13:12:00Z
1,symantec,1,17-04-24T13:14:00Z
3,symantec,1,17-04-24T13:15:00Z
0,symantec,1,17-04-24T13:16:00Z
1,symantec,1,17-04-24T13:19:00Z
0,symantec,2,17-04-24T13:21:00Z
1,symantec,1,17-04-24T13:23:00Z
1,symantec,2,17-04-24T13:28:00Z
0,symantec,2,17-04-24T13:30:00Z
0,symantec,1,17-04-24T13:31:00Z
0,symantec,1,17-04-24T13:32:00Z
0,symantec,1,17-04-24T13:33:00Z
0,symantec,1,17-04-24T13:36:00Z
1,symantec,2,17-04-24T13:39:00Z
1,symantec,1,17-04-24T13:42:00Z
