,company,count,time
30,citrix,1,17-04-24T11:42:00Z
22,citrix,2,17-04-24T11:46:00Z
23,citrix,1,17-04-24T11:49:00Z
23,citrix,3,17-04-24T11:51:00Z
29,citrix,1,17-04-24T11:59:00Z
25,citrix,2,17-04-24T12:01:00Z
21,citrix,2,17-04-24T12:03:00Z
22,citrix,1,17-04-24T12:05:00Z
22,citrix,2,17-04-24T12:06:00Z
24,citrix,3,17-04-24T12:08:00Z
22,citrix,2,17-04-24T12:11:00Z
18,citrix,1,17-04-24T12:13:00Z
23,citrix,4,17-04-24T12:15:00Z
29,citrix,3,17-04-24T12:16:00Z
20,citrix,3,17-04-24T12:17:00Z
22,citrix,2,17-04-24T12:18:00Z
21,citrix,1,17-04-24T12:19:00Z
21,citrix,1,17-04-24T12:20:00Z
24,citrix,2,17-04-24T12:21:00Z
19,citrix,1,17-04-24T12:23:00Z
23,citrix,7,17-04-24T12:28:00Z
20,citrix,2,17-04-24T12:30:00Z
23,citrix,1,17-04-24T12:31:00Z
19,citrix,1,17-04-24T12:33:00Z
22,citrix,1,17-04-24T12:37:00Z
22,citrix,1,17-04-24T12:39:00Z
23,citrix,1,17-04-24T12:42:00Z
24,citrix,2,17-04-24T12:47:00Z
22,citrix,1,17-04-24T12:48:00Z
24,citrix,3,17-04-24T12:50:00Z
21,citrix,1,17-04-24T12:52:00Z
20,citrix,1,17-04-24T12:53:00Z
21,citrix,1,17-04-24T13:00:00Z
25,citrix,3,17-04-24T13:01:00Z
28,citrix,2,17-04-24T13:03:00Z
25,citrix,1,17-04-24T13:06:00Z
21,citrix,1,17-04-24T13:07:00Z
23,citrix,1,17-04-24T13:08:00Z
21,citrix,2,17-04-24T13:22:00Z
20,citrix,1,17-04-24T13:27:00Z
22,citrix,3,17-04-24T13:29:00Z
19,citrix,2,17-04-24T13:31:00Z
24,citrix,1,17-04-24T13:36:00Z
26,citrix,1,17-04-24T13:38:00Z
21,citrix,4,17-04-24T13:44:00Z
20,citrix,1,17-04-24T13:45:00Z
24,citrix,1,17-04-24T13:47:00Z
23,citrix,1,17-04-24T13:48:00Z
21,citrix,3,17-04-24T13:49:00Z
22,citrix,5,17-04-24T13:50:00Z
21,citrix,1,17-04-24T13:51:00Z
23,citrix,1,17-04-24T13:52:00Z
20,citrix,2,17-04-24T13:54:00Z
20,citrix,3,17-04-24T13:56:00Z
25,citrix,1,17-04-24T13:57:00Z
19,citrix,1,17-04-24T13:59:00Z
21,citrix,1,17-04-24T14:00:00Z
27,citrix,1,17-04-24T14:01:00Z
25,citrix,1,17-04-24T14:02:00Z
26,citrix,2,17-04-24T14:03:00Z
23,citrix,2,17-04-24T14:06:00Z
21,citrix,1,17-04-24T14:07:00Z
23,citrix,3,17-04-24T14:08:00Z
24,citrix,1,17-04-24T14:09:00Z
19,citrix,2,17-04-24T14:10:00Z
22,citrix,3,17-04-24T14:11:00Z
21,citrix,2,17-04-24T14:14:00Z
24,citrix,1,17-04-24T14:18:00Z
20,citrix,3,17-04-24T14:21:00Z
23,citrix,6,17-04-24T14:22:00Z
22,citrix,4,17-04-24T14:23:00Z
21,citrix,2,17-04-24T14:24:00Z
25,citrix,1,17-04-24T14:25:00Z
22,citrix,2,17-04-24T14:26:00Z
22,citrix,2,17-04-24T14:28:00Z
22,citrix,1,17-04-24T14:31:00Z
21,citrix,1,17-04-24T14:33:00Z
29,citrix,1,17-04-24T14:34:00Z
21,citrix,2,17-04-24T14:35:00Z
24,citrix,5,17-04-24T14:38:00Z
24,citrix,1,17-04-24T14:41:00Z
26,citrix,1,17-04-24T14:42:00Z
20,citrix,5,17-04-24T14:44:00Z
21,citrix,1,17-04-24T14:46:00Z
24,citrix,8,17-04-24T14:47:00Z
24,citrix,1,17-04-24T14:49:00Z
21,citrix,1,17-04-24T14:50:00Z
23,citrix,4,17-04-24T14:51:00Z
