,company,count,time
2,cisco,2,17-04-23T16:36:00Z
1,cisco,4,17-04-23T16:38:00Z
2,cisco,4,17-04-23T16:39:00Z
0,cisco,4,17-04-23T16:40:00Z
1,cisco,2,17-04-23T16:42:00Z
2,cisco,2,17-04-23T16:43:00Z
2,cisco,1,17-04-23T16:45:00Z
2,cisco,2,17-04-23T16:46:00Z
1,cisco,1,17-04-23T16:47:00Z
0,cisco,1,17-04-23T17:43:00Z
0,cisco,2,17-04-23T17:45:00Z
1,cisco,1,17-04-23T17:46:00Z
0,cisco,3,17-04-23T17:48:00Z
1,cisco,1,17-04-23T18:07:00Z
1,cisco,1,17-04-23T18:08:00Z
0,cisco,1,17-04-23T18:12:00Z
1,cisco,1,17-04-23T18:13:00Z
0,cisco,1,17-04-23T18:17:00Z
1,cisco,1,17-04-23T18:18:00Z
1,cisco,3,17-04-23T18:19:00Z
0,cisco,1,17-04-23T18:23:30Z
1,cisco,1,17-04-23T18:26:00Z
0,cisco,1,17-04-23T18:28:30Z
0,cisco,1,17-04-23T18:44:00Z
2,cisco,1,17-04-23T18:45:30Z
1,cisco,1,17-04-23T18:46:30Z
4,cisco,5,17-04-23T18:48:00Z
2,cisco,1,17-04-23T18:48:30Z
1,cisco,3,17-04-23T18:49:00Z
1,cisco,2,17-04-23T18:50:00Z
1,cisco,3,17-04-23T18:50:30Z
2,cisco,1,17-04-23T18:52:00Z
4,cisco,4,17-04-23T18:53:00Z
2,cisco,2,17-04-23T18:54:00Z
4,cisco,4,17-04-23T18:55:00Z
1,cisco,2,17-04-23T18:56:00Z
2,cisco,2,17-04-23T18:58:00Z
5,cisco,2,17-04-23T18:59:00Z
3,cisco,3,17-04-23T19:00:00Z
5,cisco,3,17-04-23T19:01:00Z
5,cisco,1,17-04-23T19:02:00Z
3,cisco,2,17-04-23T19:06:00Z
2,cisco,2,17-04-23T19:07:00Z
0,cisco,2,17-04-23T19:08:00Z
4,cisco,2,17-04-23T19:11:00Z
2,cisco,4,17-04-23T19:12:00Z
2,cisco,3,17-04-23T19:13:00Z
1,cisco,6,17-04-23T19:14:00Z
4,cisco,1,17-04-23T19:15:00Z
1,cisco,4,17-04-23T19:16:00Z
1,cisco,5,17-04-23T19:17:00Z
1,cisco,2,17-04-23T19:18:00Z
1,cisco,4,17-04-23T19:19:00Z
3,cisco,2,17-04-23T19:20:00Z
4,cisco,1,17-04-23T19:21:00Z
2,cisco,2,17-04-23T19:22:00Z
1,cisco,8,17-04-23T19:24:00Z
2,cisco,3,17-04-23T19:25:00Z
1,cisco,4,17-04-23T19:26:00Z
1,cisco,3,17-04-23T19:27:00Z
2,cisco,1,17-04-23T19:28:00Z
4,cisco,4,17-04-23T19:29:00Z
1,cisco,1,17-04-23T19:30:00Z
3,cisco,8,17-04-23T19:31:00Z
2,cisco,1,17-04-23T19:32:00Z
1,cisco,3,17-04-23T19:33:00Z
5,cisco,3,17-04-23T19:34:00Z
2,cisco,1,17-04-23T19:35:00Z
1,cisco,2,17-04-23T19:36:00Z
1,cisco,1,17-04-23T19:37:00Z
1,cisco,4,17-04-23T19:39:00Z
1,cisco,4,17-04-23T19:40:00Z
4,cisco,1,17-04-23T19:41:00Z
5,cisco,3,17-04-23T19:42:00Z
1,cisco,4,17-04-23T19:43:00Z
1,cisco,2,17-04-23T19:44:00Z
3,cisco,1,17-04-23T19:45:00Z
4,cisco,2,17-04-23T19:48:00Z
1,cisco,2,17-04-23T19:49:00Z
1,cisco,3,17-04-23T19:51:00Z
1,cisco,1,17-04-23T19:52:00Z
1,cisco,2,17-04-23T19:53:00Z
1,cisco,3,17-04-23T19:55:00Z
2,cisco,1,17-04-23T19:56:00Z
1,cisco,3,17-04-23T19:57:00Z
1,cisco,3,17-04-23T19:58:00Z
4,cisco,4,17-04-23T19:59:00Z
4,cisco,2,17-04-23T20:00:00Z
1,cisco,3,17-04-23T20:02:00Z
0,cisco,1,17-04-23T20:06:00Z
5,cisco,2,17-04-23T20:07:00Z
2,cisco,2,17-04-23T20:08:00Z
2,cisco,2,17-04-23T20:10:00Z
4,cisco,2,17-04-23T20:11:00Z
1,cisco,1,17-04-23T20:12:00Z
1,cisco,1,17-04-23T20:13:00Z
1,cisco,1,17-04-23T20:14:00Z
1,cisco,1,17-04-23T20:21:00Z
